"ID","Nome","Abreviacao","Slug"
262,"Flamengo","FLA","flamengo"
263,"Botafogo","BOT","botafogo"
264,"Corinthians","COR","corinthians"
265,"Bahia","BAH","bahia"
266,"Fluminense","FLU","fluminense"
275,"Palmeiras","PAL","palmeiras"
276,"São Paulo","SAO","sao-paulo"
277,"Santos","SAN","santos"
282,"Atlético-MG","CAM","atletico-mg"
283,"Cruzeiro","CRU","cruzeiro"
284,"Grêmio","GRE","gremio"
285,"Internacional","INT","internacional"
287,"Vitória","VIT","vitoria"
288,"Criciúma","CRI","criciuma"
290,"Goiás","GOI","goias"
292,"Sport","SPO","sport"
293,"Atlético-PR","CAP","atletico-pr"
294,"Coritiba","CFC","coritiba"
315,"Chapecoense","CHA","chapecoense"
316,"Figueirense","FIG","figueirense"
