"Rodada","ClubeID","AtletaID","Participou","Pontos","PontosMedia","Preco","PrecoVariacao","FS","PE","A","FT","FD","FF","G","I","PP","RB","FC","GC","CA","CV","SG","DD","DP","GS"
0,285,36443,FALSE,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,285,36443,TRUE,5,5,10.6,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,285,36443,TRUE,-3,1,8.27,-2.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,285,36443,TRUE,-2.6,-0.2,6.81,-1.46,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,285,36443,TRUE,4,0.85,7.96,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
5,285,36443,TRUE,5,1.68,8.61,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
6,285,36443,TRUE,1.2,1.6,8.02,-0.59,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1
7,285,36443,TRUE,-3.3,0.9,6.75,-1.27,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,285,36443,TRUE,3,1.16,7.55,0.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9,285,36443,TRUE,-1.5,0.86,6.71,-0.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,285,36443,TRUE,-4,0.37,6.01,-0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
11,285,36443,TRUE,4.7,0.76,7.54,1.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,285,36443,TRUE,5.2,1.13,7.81,0.27,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
13,285,36443,TRUE,7.4,1.61,8.55,0.74,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14,285,36443,TRUE,8,2.07,9.01,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
15,285,36443,TRUE,4.7,2.25,8.71,-0.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16,285,36443,TRUE,-2,1.98,7.35,-1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,285,36443,TRUE,-2.3,1.73,7.24,-0.11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,285,36443,TRUE,8.5,2.11,9.18,1.94,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
19,285,36443,TRUE,-3,1.84,7.11,-2.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
20,285,36443,TRUE,-1,1.7,7.36,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
21,285,36443,TRUE,5,1.86,8.39,1.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
22,285,36443,TRUE,4.7,1.99,8.46,0.07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23,285,36443,TRUE,17.4,2.66,10.92,2.46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0
24,285,36443,TRUE,8,2.88,9.72,-1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
25,285,36443,TRUE,2,2.84,8.76,-0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
26,285,36443,TRUE,2,2.81,8.77,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
27,285,36443,TRUE,-10.5,2.32,6.36,-2.41,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4
28,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,285,36443,FALSE,0,2.32,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,294,36522,FALSE,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,294,36522,FALSE,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,294,36522,FALSE,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,294,36522,FALSE,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,294,36522,TRUE,9.2,9.2,17.98,-1.02,1,2,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0
5,294,36522,TRUE,8.7,8.95,18.69,0.71,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
6,294,36522,TRUE,6.1,8,18.63,-0.06,2,3,0,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0
7,294,36522,TRUE,2.4,6.6,17.76,-0.87,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,294,36522,FALSE,0,6.6,17.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,294,36522,TRUE,13.1,7.9,19.49,1.73,2,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,294,36522,TRUE,2.8,7.05,18.24,-1.25,2,5,0,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0
11,294,36522,TRUE,4,6.61,18.44,0.2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,294,36522,TRUE,20.2,8.31,21.83,3.39,2,4,1,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0
13,294,36522,TRUE,-2.5,7.11,18.13,-3.7,1,4,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0
14,294,36522,TRUE,-2,6.2,17.88,-0.25,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,294,36522,FALSE,0,6.2,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,294,36522,FALSE,0,6.2,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,294,36522,FALSE,0,6.2,17.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,294,36522,TRUE,3.1,5.92,18.02,0.14,3,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
19,294,36522,FALSE,0,5.92,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,294,36522,FALSE,0,5.92,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,294,36522,FALSE,0,5.92,18.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,294,36522,TRUE,4.5,5.8,17.78,-0.24,1,5,1,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0
23,294,36522,FALSE,0,5.8,17.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,294,36522,TRUE,-3.7,5.07,16.16,-1.62,1,4,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
25,294,36522,TRUE,6.8,5.19,17.87,1.71,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26,294,36522,TRUE,2.6,5.02,17.17,-0.7,4,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
27,294,36522,TRUE,5.4,5.04,17.45,0.28,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,294,36522,TRUE,3.6,4.96,17.2,-0.25,0,5,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
29,294,36522,TRUE,3.4,4.87,17.34,0.14,3,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
30,294,36522,TRUE,13.5,5.32,19.1,1.76,3,3,0,0,3,1,1,0,0,1,1,0,0,0,0,0,0,0
31,294,36522,TRUE,0.7,5.09,16.85,-2.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,294,36522,TRUE,10.1,5.33,18.55,1.7,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
33,294,36522,FALSE,0,5.33,18.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,285,36540,FALSE,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,285,36540,TRUE,2,2,12.88,-2.12,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0
2,285,36540,TRUE,3.4,2.7,12.04,-0.84,1,4,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,0
3,285,36540,TRUE,0.1,1.83,10.85,-1.19,4,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0
4,285,36540,TRUE,0.9,1.6,10.61,-0.24,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,285,36540,TRUE,1.2,1.52,10.45,-0.16,0,0,0,0,0,1,0,0,0,0,5,0,1,0,1,0,0,0
6,285,36540,FALSE,0,1.52,10.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,285,36540,TRUE,1.9,1.58,10.14,-0.31,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
8,285,36540,TRUE,10.7,2.88,11.87,1.73,2,2,0,0,0,1,0,0,0,3,1,0,0,0,1,0,0,0
9,285,36540,TRUE,4.1,3.03,11.2,-0.67,1,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0
10,285,36540,TRUE,0.4,2.74,10.7,-0.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,285,36540,TRUE,10,3.47,12.69,1.99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,285,36540,TRUE,2.3,3.36,11.47,-1.22,0,3,0,0,0,0,0,0,0,1,3,0,1,0,1,0,0,0
13,285,36540,TRUE,7.1,3.67,12.55,1.08,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
14,285,36540,TRUE,6.6,3.9,12.72,0.17,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
15,285,36540,TRUE,7.3,4.14,13.15,0.43,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0
16,285,36540,TRUE,1.8,3.98,12.04,-1.11,1,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
17,285,36540,TRUE,5,4.04,12.86,0.82,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
18,285,36540,FALSE,0,4.04,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,285,36540,FALSE,0,4.04,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,285,36540,FALSE,0,4.04,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,285,36540,FALSE,0,4.04,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,285,36540,FALSE,0,4.04,12.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,285,36540,TRUE,9.8,4.38,13.33,0.47,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0
24,285,36540,TRUE,7.4,4.55,13.21,-0.12,1,4,0,0,0,0,0,0,0,3,4,0,0,0,1,0,0,0
25,285,36540,TRUE,10,4.84,13.82,0.61,0,3,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0
26,285,36540,TRUE,-2.5,4.47,11.69,-2.13,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
27,285,36540,TRUE,4.8,4.49,12.76,1.07,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0
28,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,285,36540,FALSE,0,4.49,12.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,284,36612,FALSE,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,284,36612,TRUE,5.3,5.3,20.68,-1.32,4,1,0,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0
2,284,36612,FALSE,0,5.3,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,284,36612,FALSE,0,5.3,20.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,284,36612,TRUE,0.5,2.9,17.39,-3.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,284,36612,TRUE,0,1.93,16.64,-0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,284,36612,TRUE,5,2.7,17.42,0.78,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,284,36612,TRUE,2.4,2.64,16.71,-0.71,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
8,284,36612,TRUE,1.3,2.42,15.85,-0.86,1,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,284,36612,TRUE,0,2.07,15.48,-0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,284,36612,TRUE,1.7,2.02,15.85,0.37,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,284,36612,TRUE,-3.1,1.45,14.67,-1.18,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
12,284,36612,FALSE,0,1.45,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,284,36612,FALSE,0,1.45,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,284,36612,FALSE,0,1.45,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,284,36612,TRUE,2.2,1.52,14.87,0.2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0
16,284,36612,TRUE,-1.2,1.27,13.86,-1.01,0,3,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
17,284,36612,TRUE,12,2.16,16.56,2.7,1,2,0,0,0,1,0,1,0,7,0,0,0,0,0,0,0,0
18,284,36612,TRUE,-0.1,1.99,14.44,-2.12,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
19,284,36612,TRUE,2.7,2.04,14.69,0.25,2,4,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
20,284,36612,TRUE,4.1,2.18,15.03,0.34,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,284,36612,TRUE,1,2.11,14.4,-0.63,2,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
22,284,36612,FALSE,0,2.11,14.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
