"ID","Rodada","CasaID","VisitanteID","PlacarCasa","PlacarVisitante"
211199,38,263,283,2,2
211200,38,267,303,2,1
211201,38,277,314,1,1
211202,38,276,265,1,1
211203,38,282,284,4,3
211204,38,293,275,3,0
211205,38,292,264,1,0
211206,38,287,262,1,2
211207,38,373,266,1,1
211208,38,315,294,2,1
211209,37,266,292,1,2
211210,37,262,277,1,2
211211,37,275,263,2,0
211212,37,264,282,2,2
211213,37,283,267,0,1
211214,37,294,276,1,2
211215,37,284,373,1,1
211216,37,265,315,0,1
211217,37,303,287,2,3
211218,37,314,293,1,0
211219,36,266,303,2,0
211220,36,262,264,3,0
211221,36,277,284,1,0
211222,36,276,263,0,0
211223,36,282,294,3,0
211224,36,293,267,3,1
211225,36,292,265,1,0
211226,36,287,283,1,1
211227,36,373,315,1,1
211228,36,314,275,2,1
211229,35,263,373,1,2
211230,35,267,282,1,1
211231,35,275,292,5,1
211232,35,264,266,3,1
211233,35,283,314,2,2
211234,35,294,262,1,0
211235,35,284,276,1,0
211236,35,265,277,3,1
211237,35,303,293,2,1
211238,35,315,287,2,1
211239,1,266,277,3,2
211240,1,262,282,1,1
211241,1,275,267,4,0
211242,1,264,315,1,1
211243,1,283,276,1,0
211244,1,294,373,4,1
211245,1,284,263,2,0
211246,1,265,293,6,2
211247,1,303,292,4,0
211248,1,314,287,0,0
211249,34,263,293,0,1
211250,34,267,276,1,1
211251,34,275,262,2,0
211252,34,264,314,1,0
211253,34,283,266,3,1
211254,34,294,303,1,1
211255,34,284,287,1,1
211256,34,265,282,2,2
211257,34,373,292,2,0
211258,34,315,277,2,0
211259,33,266,294,2,2
211260,33,262,283,2,0
211261,33,277,267,1,2
211262,33,276,315,2,2
211263,33,282,373,3,2
211264,33,293,264,0,1
211265,33,292,263,1,2
211266,33,287,275,3,1
211267,33,303,284,0,1
211268,33,314,265,1,2
211269,2,263,303,2,0
211270,2,267,265,2,1
211271,2,277,294,1,0
211272,2,276,314,2,0
211273,2,282,266,1,2
211274,2,293,284,0,2
211275,2,292,283,1,1
211276,2,287,264,0,1
211277,2,373,262,0,3
211278,2,315,275,1,0
211279,32,263,266,1,2
211280,32,267,287,1,1
211281,32,277,282,3,1
211282,32,264,275,3,2
211283,32,283,293,1,0
211284,32,294,314,4,0
211285,32,284,262,3,1
211286,32,265,303,2,0
211287,32,373,276,0,1
211288,32,315,292,1,1
211289,3,263,265,1,0
211290,3,267,266,3,2
211291,3,277,283,0,1
211292,3,276,275,2,0
211293,3,282,303,2,2
211294,3,293,262,1,1
211295,3,292,284,4,3
211296,3,287,294,0,1
211297,3,373,264,0,1
211298,3,315,314,2,0
211299,31,266,265,1,1
211300,31,262,267,0,0
211301,31,275,283,2,2
211302,31,276,277,2,1
211303,31,282,263,0,0
211304,31,293,315,0,0
211305,31,292,294,3,4
211306,31,287,373,1,1
211307,31,303,264,1,0
211308,31,314,284,2,2
211309,4,266,287,2,1
211310,4,262,263,0,0
211311,4,275,282,0,0
211312,4,264,277,2,0
211313,4,283,315,0,2
211314,4,294,293,1,0
211315,4,284,267,2,0
211316,4,265,373,3,0
211317,4,303,276,1,0
211318,4,314,292,1,0
211319,30,263,264,2,1
211320,30,267,294,1,1
211321,30,277,373,1,0
211322,30,276,262,2,0
211323,30,283,282,1,3
211324,30,293,292,2,1
211325,30,284,275,1,3
211326,30,265,287,2,1
211327,30,303,314,1,2
211328,30,315,266,2,0
211329,5,266,293,1,1
211330,5,267,264,2,5
211331,5,277,263,1,0
211332,5,276,287,2,0
211333,5,282,314,1,0
211334,5,294,275,1,0
211335,5,292,262,2,0
211336,5,265,283,1,0
211337,5,373,303,3,0
211338,5,315,284,3,6
211339,29,266,276,3,1
211340,29,262,265,4,1
211341,29,275,303,2,0
211342,29,264,284,0,0
211343,29,282,315,2,3
211344,29,294,283,1,0
211345,29,292,277,1,1
211346,29,287,293,2,3
211347,29,373,267,0,1
211348,29,314,263,1,1
211349,6,263,294,2,2
211350,6,267,292,2,1
